tweet,sentiment
Impressionante essa garota. Nunca vi tanta maldade em alguém tão jovem. #bbb21 https://t.co/JlMnqrIM8i,-1
a sarinha não deixa eu estourar essa espinha delaaa aaaaa #revoltada,-1
Depois de quase dois meses de termo hj me bateu a bad! Quem aí está na sofrência tbm? #💔,-1
@twetterdataina e vc amor?,-1
n da eu vejo qualquer coisa relacionada a ponte para terabitia e já fico,-1
@eusaraffc só escuta a voz mas e o resto nao quer ver,-1
"Dante eu te amava, mas pra que vc foi curar o joui? #Decepcionado #Desconjuracao",-1
"0 Vbucks hoje em 
 https://t.co/yYF13QLay2",-1
As vezes é melhor deixar ir 💔 https://t.co/CrdVDgRzHI,-1
"Como superar que Henry Cavill está apaixonado e não é por mim ? 
💔
Meu plano de ir para Los Angeles e esbarrar nele, fingindo que não o conheço foi destruído.
 https://t.co/sDjkf6KXGs",-1
"Tá tendo aglomeração, vozes masculinas gritando EEEEEEEEEEEEE.",-1
"Só acreditem nos presentes de casamentos se vocês VEREM até lá, é especulação!!!!
 #revoltada",-1
@IGNBrasil @intelbrasil Não tenho pc ._. xaxa,-1
"Chuva em Salvador o único pensamento... 
"" Ê chuá chuá, ê chuá chuá
Temporal que leva tudo, minha fé não vai levar
Ê chuá chuá, ê chuá chuá
Oh Deus dá-me forças",-1
Boa noite para quem está sofrendo pela Morena 🥵😔,-1
"Acabo de saber que o Prof. Bento Mancio, um dos meus mais queridos na Zootecnia da #UFV, se suicidou hoje em Viçosa. 
Sei nem o que dizer.",-1
Ouvir músicas antigas só me da a certeza de que nasci no século errado.,-1
@hickmenezes_ @xxsophiahb conversar tanto pra nem uns beijinhos rolar,-1
@crvgelo Sem o sósia do cano,-1
Ninguém disse que sou gostosa,-1
A pior coisa do mundo é você não poder contar com ninguém!!,-1
@g1 Os tios da minha cunhada. Morreram um atrás do outro com 2hs de diferença. Teve noticiário e tudo tbm...,-1
tem uns demonios que uanado vao morrer eu sinto pena de vdd,-1
estou https://t.co/9wI7FQf9rC,-1
tem uns democios que uanado vao morrer eu sinto pena de vdd,-1
"Mano coloquei 5 cracudinhas pra gelar, bebi 2 e já cansei de beber",-1
"Temos de cancelar os tucanos, pq eles não comem só coisinhas verdes e se tornam mais evoluídos. Com tanta fruta não têm necessidade de comer carne. #ironico https://t.co/kOQMUwFWpI",-1
#PCGaming #DeadSpace3 A armadura dele é mais bonita https://t.co/rkgKSzcuFQ,-1
"Nesse calor , pede uma cervejinha geladinha né cara ?🥵
Porém estou no serviço e não posso ingerir álcool😞",-1
@danivanderlei @Famoso43755127 @marciotsantos @pelintrate E as variantes rindo dele depois.,-1
"Nossa achei esse feedback tão triste.... 6 anos só e a paixão ja acabou ? e eles parecem não ter coragem de concertar as coisas ou libertar um ao outro pra viver outro amor, ai ele recorre aos momentos felizes de outro casal ... muito . Medo disso acontecer comigo . https://t.co/zUWDxIk1KG",-1
Alegria passageira - junto das 250 cápsulas @Nespresso_BR @Nespresso veio uma máquina Vertuo. Liguei lá. Não sabem o que houve. Mas vão recolher mesmo assim.,-1
