tweets,timestamps
"Fortnite is getting another PlayStation character, this time Aloy from Horizon Zero Dawn! Check out her skins and Limited Time Mode: https://t.co/B5ccfypaiu",2021-04-14 03:01:00
"The series premiere of HBO's The Nevers is a mostly one-dimensional repackaging of Joss Whedon's greatest hits. 

Our review: https://t.co/3SKJ9jLBpW https://t.co/pE2JzNqOtE",2021-04-14 02:31:01
Horizon Zero Dawn's Aloy is coming to Fornite as a skin and will be featured in a team-up game mode with Lara Croft. https://t.co/vBbjT8iil4,2021-04-14 02:01:01
"A new Persona mobile game is being developed, but so far is only confirmed for China. https://t.co/T6LfoVmnj1 https://t.co/Sc1Zy9lVdJ",2021-04-14 01:46:01
Nintendo announced a 20-minute Indie World Showcase dropping tomorrow at 9am PT. https://t.co/goGDSoDf9e https://t.co/IeTTTlDku6,2021-04-14 01:31:01
"SlotsWise teamed up with experts to make 3D models of what human hands could theoretically look like if they evolved to better fit video game controllers.

Check out their full breakdown and video here: https://t.co/z9rAs1qBHC https://t.co/5IHqiWZiRi",2021-04-14 01:01:06
"After streaming nonstop for 31 days, @LudwigAhgren has accrued more subscriptions than anybody else in Twitch history, beating even Ninja. https://t.co/czXgDZJL9P https://t.co/BL0SdBs9kI",2021-04-14 00:46:01
"The Diablo 2 Resurrected Alpha struck all the right performance notes with fans, and many are excited to play again when the full release comes later this year.

Our performance review: https://t.co/ipWjnA8tPr https://t.co/gt1hfNbbAN",2021-04-14 00:31:01
Street Fighter's Ryu and Chun-Li are being transformed into the Crimson Hawk Ranger and Blue Phoenix Ranger in Power Rangers: Battle For the Grid DLC coming May 25. https://t.co/ARuLidqHip https://t.co/73lOrw9dnR,2021-04-14 00:01:01
"Call of Duty and Warzone have issued more than 475,000 permabans in an effort to stop cheating. https://t.co/NgWpQoaPCv https://t.co/r5CVikNl5t",2021-04-13 23:31:02
The PS5's first major update coming April 14 will finally let users store (but not play) PS5 games on external USB drives. https://t.co/wQbwjb3JCq,2021-04-13 23:17:00
"The Cinerama Dome has been featured in films and TV shows like Once Upon a Time in Hollywood, Melrose Place, Entourage and more. https://t.co/QZ0rRvrrVv https://t.co/4s40Ina7B2",2021-04-13 23:01:02
Capcom revealed that last year's massive ransomware attack was carried out through an old VPN device. https://t.co/qq2ceAVuIF https://t.co/lqDIxjp4rl,2021-04-13 22:31:01
"Blossom, Bubbles, and Buttercup are back in this first look at the live-action Powerpuff Girls series. https://t.co/tlaY7EX3qG",2021-04-13 22:01:02
"A $2,000 all-in-one exercise bike, video game console, and entertainment system has been announced - for the person who has everything, but wants it all in one package anyway. 🚲 https://t.co/BkfR4VWask https://t.co/Tm61OEDPgO",2021-04-13 21:31:02
https://t.co/M4dINdChMC https://t.co/hFfQJha9FR,2021-04-13 21:27:28
"Sugar, spice, and everything nice.
The first image of the CW’s live-action Powerpuff Girls has been released, and the dynamic trio is definitely color coordinated. https://t.co/lpNCCfABUC",2021-04-13 21:17:00
"NASA released this false-color thermal image of dunes surrounding Mars' northern polar cap. The cooler areas have blue tints, while sun-warmed dunes ""glow with a golden color."" https://t.co/8Z4yLUDnMr https://t.co/vQ2bOz4MhH",2021-04-13 21:01:02
"Yes, San Diego Comic-Con organizers are still planning to host a small in-person event over Thanksgiving weekend, but they admit it may not be feasible. https://t.co/HLL8rXBjke https://t.co/hQfUxChkds",2021-04-13 20:31:02
"We got Kenny Florian, a former UFC fighter and current MMA commentator, to react to the fight scenes from Bob Odenkirk's action thriller film, Nobody. https://t.co/3nllVh5XnI https://t.co/MEb33WjxFj",2021-04-13 20:01:06
"From Rick to Glenn, learn more about six iconic Walking Dead characters coming to @TWD__Survivors strategy game, and what their individual skills are: https://t.co/UpVT49w4Fd

#ad https://t.co/jmOvoNIlFx",2021-04-13 19:47:04
Ryan Reynolds and Samuel L. Jackson are back on another life-threatening mission in the action-packed trailer for Hitman's Wife's Bodyguard. https://t.co/sd8EwsVWhx https://t.co/BHk0R4B7AH,2021-04-13 19:31:01
"The first major system software update for PS5 arrives tomorrow, with new storage options, social features, and personalization settings. https://t.co/XLa8M8eqVP https://t.co/kwf91sxxdp",2021-04-13 19:01:03
"The trailer for Ghostrunner: The Metal Ox Pack DLC shows off the new Kill Run game mode, which adds seconds on the timer every time you get a kill. https://t.co/VCH9xmzXwH https://t.co/RFec9MQXJi",2021-04-13 18:31:06
"Godzilla Singular Point, a 13-episode Netflix series coming this June, just got an action-packed trailer filled with mechs, monsters, and a spreading evil. https://t.co/y5pfhNsYz1 https://t.co/2qxzbFG585",2021-04-13 18:01:35
"Kefka? Ganon? GLaDOS??

What are your favorite final bosses ever? https://t.co/gun6qlQo4L",2021-04-13 17:51:56
The first trailer for Zack Snyder's Army of the Dead pits Dave Bautista against a zombie tiger. 🧟‍♂️ 🐅 https://t.co/tbi85TBujR https://t.co/EyxTv1hLyD,2021-04-13 17:31:04
Is it...,2021-04-13 17:17:38
What color is this Nintendo Switch Lite? (Nintendo says it's Blue.) https://t.co/xsru1XSvrg,2021-04-13 17:17:11
"Netflix has revealed the release date and trailer for Godzilla Singular Point, an all-new anime series centered on the titular famed Kaiju. https://t.co/dZ5MEpclrl https://t.co/aO0gAknYik",2021-04-13 17:01:03
"Get caught up on all our exclusive IGN First coverage of Resident Evil Village so far, including the first-ever PS4 Pro gameplay, Mother Miranda's reveal, and more! https://t.co/Z4GkFzgqO8 https://t.co/4xNAD4DZmQ",2021-04-13 16:31:02
"Power Rangers: Battle for the Grid is getting a Street Fighter crossover, with Ryu and Chun-Li transformed into the Crimson Hawk Ranger and Blue Phoenix Ranger. https://t.co/kG77OeD4bH https://t.co/sm1RjuJpId",2021-04-13 16:01:03
Siri might have leaked Apple's next big event. https://t.co/iOSDmNzzk7 https://t.co/iGwxDlYIrC,2021-04-13 15:46:06
"Watch the first trailer for Zack Snyder’s Army of the Dead, a heist film set in a zombie-infested Las Vegas coming to Netflix this May. https://t.co/B3XwgjpRdX",2021-04-13 15:30:31
Some classic Ubisoft games will lose multiplayer functionality and online support across multiple platforms this year. https://t.co/vRpxPtB6FP https://t.co/9a710IHiG2,2021-04-13 15:01:08
A bunch of PS5 compatible hard drives are on sale right now. https://t.co/ZaGsZLqfu1 https://t.co/DoxIjDnrEl,2021-04-13 14:48:51
Netflix has ordered two more seasons of Bridgerton while the second season of the Regency-era debutante drama is still in production. https://t.co/tEbLCPPPUs https://t.co/6uA2TmUAnU,2021-04-13 14:31:04
"Square Enix has revealed new details on Final Fantasy 7 Remake Intergrade's Yuffie DLC, which is now officially called EPISODE INTERmission. https://t.co/DcSfFpJiJC https://t.co/AtJJ9SyATs",2021-04-13 14:01:02
"Nintendo has announced a new blue edition of the Switch Lite, which will launch in May. https://t.co/UhwBfGQeZ8 https://t.co/DyK9Fkyywl",2021-04-13 13:47:01
Horizon Zero Dawn and Horizon Forbidden West's Aloy is officially coming to Fortnite on April 15. https://t.co/ctYhkE4pYq https://t.co/z4B3v3ECq4,2021-04-13 13:31:02
Oculus has announced it will be hosting the first ever Oculus Gaming Showcase on April 21. https://t.co/ggEySahjy1 https://t.co/zn7UZ4otb2,2021-04-13 13:01:02
Arclight Cinemas and Pacific Theaters will not be reopening after closing their doors over a year ago due to the COVID-19 pandemic. https://t.co/QZ0rRvrrVv https://t.co/pwdz7rgIqy,2021-04-13 12:31:02
"The first major PS5 update has been detailed, and will allow PS5 games to be stored on USB devices, among other features. https://t.co/Nt5BmOvfS5 https://t.co/uBMDC8ChWN",2021-04-13 12:14:41
"Gord, a grim-fantasy city-building game with survival elements, has been announced from a new studio headed by a former developer on The Witcher 3. https://t.co/ravbPRhGJO https://t.co/v97WVEHiG7",2021-04-13 12:01:02
"As we look forward to the new Mortal Kombat movie, here's seven things you probably didn't know about the original film. https://t.co/9ocZ5EqJYs",2021-04-13 11:01:00
NASA has released a new image of Mars' blue dunes and it looks more like an alien planet from Mass Effect than one from our very own solar system. https://t.co/Hd7Mct2Cir https://t.co/lfE4ErmfkV,2021-04-13 10:00:16
"For gaming alone, the Nubia RedMagic 6 is up to snuff. But it’s a letdown and a pain in too many other areas. 

Our review https://t.co/2cDlW8jOhd https://t.co/UM6dSawCcY",2021-04-13 09:00:07
Check out the first 16 minutes of Diablo 2: Resurrected: https://t.co/8dhOVuPbBF https://t.co/lkfW7GE84i,2021-04-13 08:00:10
Are you caught up on The Falcon and Winter Soldier? https://t.co/NHXDnso7gz https://t.co/TMrY2lTiVT,2021-04-13 07:00:17
"Director Ben Wheatley's In the Earth is an oppressive, bizarre trip of sight, sound, and spore-induced psychedelia. 

Our review: https://t.co/h2JdiVINgc https://t.co/Al4dby8pRi",2021-04-13 06:00:13
Let’s break down that Netflix/Spider-Man deal on a new episode of The Fix: Entertainment. https://t.co/XoH8SQFiYv,2021-04-13 05:01:00
"Watch the trailer for Street Gang: How We Got To Sesame Street, an upcoming documentary about how Jim Henson's team dared to make a new type of educational show for kids. https://t.co/ASOnc2OhAT",2021-04-13 04:01:19
Netflix announced it's working on a live-action Gundam movie directed by Kong: Skull Island's Jordan Vogt-Roberts with Saga writer Brian K. Vaughn penning the script. https://t.co/6BPJ0B8kjV,2021-04-13 03:31:00
"""Autobots, roll out!"" Check out this $700 transforming, voice-controlled Optimus Prime. https://t.co/uuaKnifoQ0 https://t.co/yw4KnqLhPw",2021-04-13 03:01:01
"A creative deck-building system elevates Magic: Legends above just another Diablo-style action RPG, but the performance issues, massive grind, and cash shop are the main problems preventing it from catching on. 

Our review from @David_Jagneaux:
https://t.co/C5Ojz8j0Fx https://t.co/5fgW0cS7Fh",2021-04-13 02:31:01
"“I think that shapeshifting logo might give you an idea that Loki, the show, is about identity, and about integrating the disparate fragments of the many selves that he can be, and perhaps the many selves that we are."" - Tom Hiddleston https://t.co/s96RP7mU7A https://t.co/Opg9i7Zjho",2021-04-13 02:01:02
The crew from Mythic Quest is back in this new trailer for Season 2: https://t.co/jm8NN9auoC https://t.co/UNVnBDmdX4,2021-04-13 01:31:01
